OR_AY_S1,OR_AY_all,mean_U,mean_U_A1_all,mean_U_A0_all,mean_U_A1_S1,mean_U_A0_S1,p_A,p_Y,p_S,p_S_A1,p_S_A0,p_Y_A0,p_Y_A1,p_Y_A0_S1,p_Y_A1_S1,ub_OR_AY_all,lb_OR_AY_all,ub_OR_AY_S1,lb_OR_AY_S1,log_OR_AY_S1,log_OR_AY_all,covg_OR_AY_S1,covg_OR_AY_all
0.6746696000114294,0.9934580694788505,0.013807072597205032,-2.261587232887254e-4,0.01729785641219299,0.6924295758565441,0.9560636806655225,0.1992,0.116,0.2242,0.39056224899598396,0.18281718281718282,0.11613386613386613,0.11546184738955824,0.2773224043715847,0.20565552699228792,1.2300085281537911,0.7965583269649373,0.9026207130920254,0.5007015162686129,-0.39353218940931467,-0.006563422733607352,0,1
0.6099136465611854,0.9852493714887767,0.013388863416500526,0.003590088375223421,0.015789758496335352,0.6747134234496229,0.9556601357296391,0.1968,0.1058,0.2176,0.383130081300813,0.17704183266932272,0.10607569721115538,0.10467479674796748,0.26863572433192684,0.1830238726790451,1.2320260878851805,0.7813536446310666,0.8275151305778536,0.4454677958670652,-0.49443789485021955,-0.014860500827778919,0,1
0.64593908629308,0.9457656366723494,0.01110107655581181,0.020655289068986088,0.008697576286540182,0.7099603319008394,0.967024162696486,0.201,0.1108,0.2242,0.4129353233830846,0.176720901126408,0.11188986232790989,0.10646766169154229,0.2790368271954674,0.2,1.1778799069129766,0.7533165078242334,0.8618242793618588,0.48092664449187733,-0.43705007330942514,-0.055760481984372064,0,1
0.5469740633996988,0.9745386099331764,-0.0010709671397385347,0.03233215184466072,-0.009652663369516321,0.6509648235864481,0.9864748969347912,0.2044,0.1136,0.2292,0.4158512720156556,0.18124685771744595,0.11412770236299648,0.11154598825831702,0.2912621359223301,0.18352941176470589,1.2075694749270633,0.780699429285463,0.7308896229372165,0.40612870891004865,-0.6033538937726362,-0.02579114056984322,0,1
0.6913194444424777,1.0095348563204445,0.030586932461194857,0.02805701792228992,0.031199768902296057,0.6920569378237884,0.9877123434195173,0.195,0.109,0.2254,0.40205128205128204,0.1826086956521739,0.10881987577639751,0.10974358974358975,0.2612244897959184,0.19642857142857142,1.258229078166671,0.8035792147587076,0.92871537410278,0.5107748436173563,-0.3691532690686402,0.00948968647624653,0,1
0.6532005689887079,0.9503122229211917,0.011047862628908982,0.01175764824035134,0.010871966169672082,0.6410848244445186,0.99179664367888265,0.1986,0.1128,0.2198,0.4199395770392749,0.17020214624407287,0.11380084851509857,0.10876132930513595,0.2785923753665689,0.2014388489208633,1.182413471146138,0.7577162078830357,0.8722378414896353,0.4860855894020611,-0.4258710468073516,-0.05096469267648942,0,1
0.6668887408376606,1.0083947227421537,-0.013754064232227792,-0.05419371976384006,-0.0035555335234039626,0.5952471719001071,0.9661401816839202,0.2014,0.1076,0.2206,0.3902681231380338,0.17781116954670673,0.10743801652892562,0.10824230387288977,0.2676056338028169,0.19592875318066158,1.2552151587358413,0.8038756782900891,0.8966443043055882,0.4923382692580832,-0.40513205232091015,0.008359683019792041,0,1
0.7841122257552481,1.1038214644227398,-0.03288962119845279,-0.02699519407548988,-0.03416254223084361,0.6458706807301354,0.9435781972663663,0.1776,0.1048,0.2066,0.38738738738738737,0.16755836575875485,0.10311284046692606,0.11261261261261261,0.2656023222060958,0.22093023255813954,1.385113504497226,0.8721355838100298,1.0611200443874287,0.5753492847610481,-0.24320312378003117,0.09877821776891034,1,1
0.5550300676509566,0.8163154647009981,0.01876950833564789,-0.05411409117384172,0.03726454411889851,0.644328645756196,1.0086295808552739,0.2024,0.1122,0.2236,0.3685770750988142,0.18681043129388164,0.11609829488465397,0.09683794466403162,0.2791946308724832,0.1769436997319035,1.0226968853614762,0.6456210831621635,0.7534814104365396,0.4046882401785023,-0.5887329907554966,-0.20295439982984748,0,1
0.7388018433160299,1.0035494518709405,0.01684622256388023,-0.031465464739951356,0.028969470591336595,0.6943705074037317,0.9999274308784623,0.2006,0.1084,0.2132,0.38883349950149554,0.1691268451338504,0.10833124843632724,0.10867397806580259,0.2588757396449704,0.20512820512820512,1.2489934965453309,0.8001200857814321,0.9944369172609818,0.5453626598175756,-0.3027255356465887,0.0035431674331311202,0,1
